address,city,state,country,lat,lng
636 Congress St,Boston,MA,US,42.34794617,-71.03967285
821 Washington Street,Boston,MA,US,42.34896088,-71.06415558
700 Commonwealth Ave,Boston,MA,US,42.34968567,-71.10025787
Logan Airport terminal C,Boston,MA,US,42.3669548,-71.01633453
84 State Street,Boston,MA,US,42.35911942,-71.05560303
346 Huntington Ave,Boston,MA,US,42.33958435,-71.08935547
425 Summer St,Boston,MA,US,42.3470993,-71.04367065
165 Newbury Street,Boston,MA,US,42.35080338,-71.07887268
7 Allstate Rd,Boston,MA,US,42.32886887,-71.06288147
"2 Atlantic Avenue, The Pilot House",Boston,MA,US,42.3639183,-71.05029297
601 Congress St,Boston,MA,US,42.3474884,-71.04033661
125 Summer Street,Boston,MA,US,42.35316849,-71.05761719
27 School Street,Boston,MA,US,42.35772705,-71.05921936
"595 Commonwealth Ave, Campus Dining Services/Starbucks Coffee",Boston,MA,US,42.3493309,-71.10004425
211 Congress Street,Boston,MA,US,42.35467148,-71.05484009
222 Cambridge Street,Boston,MA,US,42.36102676,-71.06648254
12 Winter Street,Boston,MA,US,42.35570908,-71.06102753
296 State St,Boston,MA,US,42.35977554,-71.05213165
"10 Huntington Ave, Ste D, Westin Hotel Copley Place",Boston,MA,US,42.34843826,-71.07758331
1 Financial Center,Boston,MA,US,42.35226059,-71.05602264
"627 Tremont St, Retail Space #1",Boston,MA,US,42.34260941,-71.07463837
62 Boylston Street,Boston,MA,US,42.35224915,-71.06443787
65-66 Beacon,Boston,MA,US,42.35634995,-71.06931305
240 Washington St.,Boston,MA,US,42.35789871,-71.05782318
273 Huntington Ave,Boston,MA,US,42.34201431,-71.08618164
39 Dalton Street,Boston,MA,US,42.34657288,-71.08384705
443 Boylston Street,Boston,MA,US,42.35150528,-71.07299805
1 International Place,Boston,MA,US,42.35644913,-71.05181885
97 Charles Street,Boston,MA,US,42.3588829,-71.07056427
350 Newbury Street,Boston,MA,US,42.3481102,-71.08715057
364 Brookline Ave.,Boston,MA,US,42.33829117,-71.10617828
1 Federal Street,Boston,MA,US,42.35610199,-71.05699921
110 Huntington Ave,Boston,MA,US,42.34698868,-71.07923889
2-4 Faneuil Hall Market Place,Boston,MA,US,42.35959244,-71.05583954
75-101 Federal Street,Boston,MA,US,42.35504913,-71.05726624
283 Longwood Avenue,Boston,MA,US,42.33771133,-71.10472107
755 Boylston Street,Boston,MA,US,42.34925461,-71.08094025
"142-148 Brookline Avenue, Trilogy",Boston,MA,US,42.34427643,-71.10140991
147-151 Massachusetts Avenue,Boston,MA,US,42.34680557,-71.08751678
63-65 Court Street,Boston,MA,US,42.35946655,-71.05937958
"775 Commonwealth Ave., Campus Dining Services",Boston,MA,US,42.35115433,-71.10896301
500 Commonwealth Ave,Boston,MA,US,42.34879684,-71.09498596
30 Rowes Wharf,Boston,MA,US,42.35583878,-71.0497818
"1 South Station, Starbucks Coffee #106-B",Boston,MA,US,42.35319138,-71.05699921
1304 Commonwealth Avenue,Boston,MA,US,42.34846115,-71.1341095
48A Northern Avenue,Boston,MA,US,42.35253525,-71.0450592
"12 Charles Street South, D-2",Boston,MA,US,42.35107422,-71.06594849
